edad,sexo,altura,bmi,peso,h_sueno,c_sueno,n_estres,h_movil,t_pantalla,pasos,i_ejercicio,m_ejercicio,alim_enteros,alim_procesados,g_proteina,g_fibra,h_social,h_sol,l_agua,n_alcohol,t_meditacion,bienestar_fisico,bienestar_mental
27.0,0,1.65,23.67,64.42,7.1,6.1,4.8,3.9,4.6,7067.0,2.9,61.0,3.8,7.1,88.9,15.4,4.0,1.7,2.3,1.7,2.0,68.24,52.98
27.0,0,1.82,17.78,59.07,3.9,2.5,7.3,7.4,9.1,3517.0,1.0,0.0,4.5,6.0,97.3,30.0,3.0,0.8,1.0,4.6,11.0,21.44,23.54
32.0,1,1.66,27.24,74.79,5.3,4.3,4.3,3.7,6.0,4819.0,3.2,21.0,4.3,4.9,74.8,22.8,5.6,1.0,2.0,4.6,1.0,27.61,47.56
43.0,1,1.56,38.79,94.8,5.4,3.8,4.9,3.7,5.2,4004.0,1.0,0.0,4.6,4.9,43.8,26.4,0.0,0.4,2.2,5.8,2.0,20.28,33.91
38.0,0,1.61,27.79,72.1,6.9,4.3,4.2,1.8,4.6,7633.0,1.9,59.0,5.4,5.9,92.0,22.7,1.5,1.3,1.6,4.5,4.0,61.57,45.77
32.0,1,1.8,26.25,84.94,7.1,7.3,5.7,5.4,6.9,5560.0,1.4,27.0,5.5,3.8,74.2,25.0,4.6,2.6,1.1,0.0,9.0,78.94,57.31
47.0,0,1.69,17.26,49.15,4.6,3.3,4.4,5.4,8.8,6925.0,3.1,49.0,4.7,5.4,74.3,21.4,5.2,1.5,2.2,5.4,9.0,39.48,45.27
25.0,1,1.66,26.38,72.37,6.3,5.4,4.4,5.2,7.1,3475.0,1.0,0.0,4.5,4.7,82.9,17.3,4.3,2.4,3.3,0.3,24.0,67.21,58.28
32.0,0,1.71,18.25,53.54,6.9,6.3,6.7,3.1,5.7,8565.0,2.1,74.0,5.5,4.1,87.3,28.8,1.8,3.0,1.8,0.1,20.0,80.65,45.99
35.0,0,1.74,15.8,47.85,6.8,5.7,4.1,2.9,5.7,4702.0,3.9,1.0,6.3,3.6,89.8,20.2,3.4,0.9,2.9,0.1,8.0,69.27,54.57
39.0,0,1.79,18.4,58.91,8.0,7.0,3.8,2.1,3.4,7555.0,3.2,61.0,5.4,3.8,72.3,26.3,5.8,1.3,1.5,0.9,6.0,82.73,67.62
55.0,0,1.82,26.65,87.88,7.0,6.1,4.8,4.1,4.1,6244.0,2.4,39.0,8.3,0.7,85.6,28.3,6.2,3.7,2.1,1.9,6.0,74.64,69.09
27.0,0,1.67,30.17,84.25,6.1,5.4,4.7,2.4,4.7,4938.0,2.3,15.0,7.0,3.3,54.9,20.3,5.0,2.9,2.5,1.0,22.0,61.16,67.76
42.0,0,1.59,28.99,73.65,6.6,6.1,4.0,2.2,4.3,6288.0,3.6,29.0,2.8,6.3,96.2,15.4,7.3,0.0,2.0,0.1,1.0,62.73,55.92
46.0,1,1.67,16.92,47.01,5.9,4.6,6.8,3.4,5.9,4290.0,3.2,12.0,7.0,2.1,40.0,44.4,5.8,1.9,1.8,1.3,0.0,72.13,44.4
20.0,1,1.72,22.64,67.06,7.4,6.7,5.5,3.3,5.0,9096.0,1.8,73.0,7.2,1.8,84.2,20.8,3.5,1.5,2.4,1.2,24.0,87.28,61.56
47.0,0,1.62,28.3,74.53,5.9,3.9,6.8,3.2,4.8,6122.0,1.1,32.0,5.1,4.8,108.4,30.0,4.4,2.3,3.1,2.8,10.0,63.38,37.22
26.0,1,1.62,27.56,72.63,4.5,4.4,6.9,4.7,8.7,4014.0,1.0,0.0,3.0,7.9,68.8,40.5,2.2,0.8,2.2,0.7,2.0,38.28,30.1
21.0,1,1.73,14.19,42.34,6.3,5.0,4.5,4.1,4.6,6080.0,1.8,25.0,6.0,5.5,104.3,31.3,4.8,0.7,1.7,0.5,4.0,61.63,56.12
63.0,0,1.7,19.69,56.65,7.6,6.9,2.4,3.6,6.3,6052.0,3.5,44.0,6.0,3.3,113.1,22.6,7.2,0.8,1.9,0.6,40.0,78.85,78.49
63.0,0,1.7,23.82,69.04,6.9,6.3,4.4,4.3,5.7,8046.0,4.5,63.0,3.8,8.4,40.0,24.5,6.4,0.9,3.5,0.7,29.0,70.6,65.93
56.0,0,1.64,29.04,78.04,7.0,6.2,3.2,2.5,4.2,5443.0,3.1,20.0,3.1,5.9,87.0,18.3,7.8,2.3,2.1,1.8,19.0,63.48,77.7
32.0,0,1.68,13.11,37.06,7.0,6.6,4.5,4.2,5.8,4721.0,2.4,20.0,5.8,5.3,40.0,32.1,4.4,0.3,1.6,1.3,10.0,70.35,58.72
23.0,1,1.63,25.55,67.57,6.3,6.3,3.9,4.2,5.4,6509.0,1.6,38.0,5.5,3.7,87.6,29.5,7.7,0.9,1.3,0.8,11.0,72.36,63.17
50.0,0,1.77,23.0,72.15,7.7,6.1,1.6,1.7,4.3,8225.0,1.6,68.0,5.2,4.0,89.9,20.9,4.6,0.0,0.9,0.9,55.0,73.12,88.33
39.0,1,1.78,26.03,82.74,5.8,5.3,3.8,5.5,8.9,3911.0,1.0,0.0,5.8,3.4,40.3,16.7,7.9,2.5,2.2,0.9,51.0,68.13,65.9
24.0,1,1.55,33.36,80.39,6.0,4.7,3.3,2.7,5.1,6751.0,4.5,39.0,3.8,6.2,128.5,14.4,5.0,2.8,2.4,7.2,4.0,40.37,65.88
41.0,0,1.63,29.79,78.74,6.9,6.4,4.8,4.1,6.2,5004.0,2.6,21.0,5.1,5.4,95.7,32.9,6.4,1.2,1.8,0.5,25.0,63.16,66.31
20.0,1,1.58,23.23,58.0,4.7,3.3,6.3,5.7,6.8,5497.0,2.4,23.0,7.1,3.6,73.0,26.0,8.0,1.2,2.0,3.4,3.0,40.85,40.05
61.0,0,1.65,15.24,41.38,6.4,5.4,5.4,5.4,7.9,9589.0,3.7,94.0,5.3,3.8,119.3,26.7,4.6,2.0,1.3,2.5,4.0,78.85,50.25
30.0,1,1.69,22.36,64.1,5.8,5.5,8.4,4.1,8.2,5029.0,2.3,22.0,2.7,6.4,54.1,18.4,5.4,3.0,2.1,0.0,17.0,56.93,16.65
49.0,0,1.58,33.89,85.02,4.1,1.0,4.6,3.5,5.1,6853.0,3.3,43.0,5.1,4.0,65.4,13.3,7.6,1.9,2.3,10.0,8.0,20.94,46.76
33.0,1,1.63,34.37,90.9,6.9,6.1,1.8,5.4,7.0,6773.0,3.0,48.0,3.9,6.0,44.0,32.7,4.7,0.8,1.7,2.8,40.0,51.42,76.66
42.0,1,1.62,30.75,80.66,5.0,4.6,6.0,5.0,6.5,3263.0,1.0,0.0,6.5,3.3,126.0,25.3,2.4,0.0,3.0,2.3,1.0,38.37,35.57
44.0,0,1.72,25.94,76.44,6.3,5.0,4.1,3.1,4.6,3099.0,1.0,0.0,6.6,2.4,96.6,32.3,9.3,0.4,1.5,1.0,11.0,66.15,61.61
27.0,1,1.71,26.02,75.69,6.3,5.5,3.6,2.8,2.1,8140.0,4.8,62.0,2.7,7.6,103.2,21.9,4.1,1.6,2.2,1.6,38.0,62.0,70.66
64.0,1,1.64,22.86,61.66,8.0,6.9,2.8,0.9,3.3,3806.0,3.6,7.0,7.5,4.7,96.0,23.1,5.3,0.8,2.5,0.6,35.0,67.16,80.1
54.0,1,1.71,23.16,68.05,6.6,5.5,3.5,4.2,5.4,4140.0,1.0,0.0,3.8,5.7,101.5,30.7,7.3,1.7,2.0,0.1,3.0,59.73,61.17
62.0,1,1.66,34.64,95.04,6.4,4.3,3.5,3.9,4.3,7250.0,2.1,54.0,9.1,0.4,91.6,30.9,3.8,0.9,1.9,3.6,7.0,65.54,55.39
60.0,1,1.68,19.83,55.86,5.2,3.2,5.2,5.7,8.5,4052.0,4.1,4.0,5.9,4.7,95.4,31.4,3.0,0.4,1.1,4.5,14.0,33.71,33.63
46.0,0,1.83,28.02,94.22,6.1,5.7,4.6,4.5,5.5,5740.0,3.6,13.0,3.5,5.9,92.2,22.6,5.5,0.3,2.8,0.4,3.0,62.37,57.73
61.0,0,1.81,19.95,65.17,6.5,5.0,2.7,6.0,7.7,10016.0,1.5,99.0,3.7,7.0,77.8,29.9,1.4,3.1,1.9,3.1,52.0,70.21,74.47
22.0,1,1.6,35.28,89.88,7.0,5.3,3.1,3.0,6.4,4378.0,1.0,0.0,6.7,2.6,89.1,33.9,4.4,2.4,2.3,2.7,37.0,59.31,68.48
27.0,0,1.77,15.67,48.9,6.7,6.1,6.6,5.7,6.3,4142.0,1.0,0.0,5.2,6.6,95.5,24.2,5.5,3.2,2.4,0.4,3.0,61.08,53.82
20.0,1,1.76,25.29,78.79,5.7,5.6,7.6,3.2,3.7,4846.0,1.5,16.0,5.8,4.5,92.2,20.9,4.5,2.0,1.6,1.1,2.0,64.47,22.7
33.0,1,1.61,22.79,58.95,5.9,5.6,7.9,5.2,7.4,5308.0,3.1,22.0,9.2,0.2,60.4,35.7,1.9,1.1,1.9,1.1,1.0,75.98,5.46
36.0,0,1.77,15.65,48.77,6.2,5.6,5.0,1.8,5.0,5220.0,3.5,8.0,4.6,4.8,63.1,19.8,8.2,2.8,2.8,2.9,36.0,59.73,70.75
31.0,0,1.82,22.05,73.28,4.7,3.5,6.7,4.4,4.8,4544.0,1.0,0.0,6.1,3.4,111.7,30.0,5.2,1.5,1.3,3.6,3.0,39.41,39.75
57.0,1,1.61,32.84,85.14,6.8,7.2,5.3,1.0,3.4,8858.0,2.9,65.0,8.8,2.5,83.9,24.5,7.9,1.7,3.3,0.2,8.0,83.07,60.58
35.0,0,1.63,21.67,57.33,7.2,6.4,5.0,3.6,6.2,6684.0,2.7,43.0,6.5,2.2,101.7,10.3,4.5,1.5,1.6,1.7,9.0,78.72,57.78
31.0,1,1.78,14.97,47.51,5.7,4.5,5.3,4.7,4.6,6684.0,5.0,52.0,2.8,6.5,68.2,34.0,3.2,0.0,1.3,2.9,14.0,55.91,46.04
44.0,0,1.72,23.15,68.62,7.2,5.9,5.0,3.2,6.0,5631.0,1.8,31.0,7.0,2.4,60.5,5.0,5.5,3.1,2.1,3.1,1.0,68.22,60.57
25.0,1,1.74,22.58,68.69,6.5,5.5,5.2,2.4,5.3,6009.0,3.9,43.0,3.7,6.3,73.1,9.1,4.6,2.0,3.3,0.3,4.0,69.94,54.74
56.0,0,1.73,26.22,78.22,7.4,6.3,4.6,5.3,7.0,8205.0,3.0,64.0,8.8,0.9,85.5,29.2,2.6,1.8,0.9,1.5,40.0,86.11,62.31
22.0,1,1.73,28.11,84.24,5.4,4.3,4.8,3.8,7.1,4035.0,2.1,5.0,4.4,4.2,76.7,29.2,7.9,1.4,1.9,3.9,36.0,37.96,60.91
64.0,0,1.59,27.2,69.11,6.8,6.5,5.7,3.3,6.4,4969.0,3.0,42.0,10.0,0.0,115.9,19.9,3.8,1.7,2.3,0.8,23.0,89.17,61.44
54.0,1,1.78,30.75,97.83,6.9,5.9,6.3,4.1,6.2,7525.0,1.6,38.0,8.9,1.0,93.6,26.2,1.3,0.9,2.0,1.1,0.0,71.76,46.29
27.0,0,1.79,22.81,73.36,6.4,6.5,6.1,8.0,9.5,8463.0,2.4,79.0,4.4,5.0,127.0,5.0,7.7,2.1,2.2,3.3,6.0,75.08,50.97
18.0,1,1.68,22.92,64.8,6.5,6.1,6.1,5.7,6.8,9181.0,3.0,91.0,6.0,4.6,98.1,30.7,4.0,0.2,1.6,0.2,15.0,83.67,50.53
56.0,1,1.7,15.92,45.83,4.6,2.7,7.3,5.7,7.7,6784.0,1.4,32.0,7.5,3.4,41.7,27.0,3.8,1.7,1.6,3.9,5.0,50.05,24.48
51.0,0,1.58,26.55,66.06,7.3,7.2,2.8,4.7,7.2,7810.0,3.5,74.0,7.6,2.4,111.1,24.6,1.5,2.1,1.9,0.7,36.0,92.63,67.31
52.0,0,1.74,21.43,64.95,6.3,6.3,2.7,4.2,5.9,4568.0,1.0,0.0,6.9,3.3,59.8,25.2,8.5,1.3,1.3,0.0,15.0,72.01,73.6
54.0,0,1.75,27.69,84.4,7.5,7.0,6.4,0.5,1.0,8430.0,1.5,79.0,8.5,0.0,94.6,28.9,2.4,1.9,2.0,0.5,1.0,96.08,55.74
21.0,1,1.7,26.78,76.94,6.3,5.7,4.0,3.0,6.3,4256.0,1.9,15.0,5.8,3.8,74.5,24.8,5.1,0.5,1.8,0.2,36.0,63.11,60.6
35.0,1,1.79,16.33,52.31,7.9,7.5,2.3,3.3,5.5,6847.0,5.0,33.0,5.3,5.7,132.9,10.0,6.8,0.5,1.7,0.2,47.0,71.69,93.0
23.0,1,1.67,25.92,72.58,6.8,6.5,4.2,1.2,2.8,7449.0,1.0,50.0,5.3,4.3,118.8,42.6,5.8,1.7,2.2,2.4,1.0,71.43,68.88
59.0,0,1.75,26.29,80.07,5.9,5.7,4.6,2.3,5.1,6332.0,3.4,31.0,7.7,1.5,75.2,34.6,4.9,2.2,0.9,0.5,11.0,76.48,61.77
47.0,0,1.62,35.48,92.92,6.0,3.4,6.6,1.0,4.6,5544.0,2.2,23.0,6.7,5.5,87.5,14.7,1.6,0.0,1.9,5.5,5.0,42.66,29.05
34.0,1,1.7,28.89,83.31,7.9,5.1,3.2,3.9,3.1,9470.0,2.6,86.0,6.6,5.2,94.9,22.2,3.4,2.0,3.4,1.5,7.0,83.82,65.13
21.0,0,1.69,28.64,81.41,5.8,5.5,6.1,5.2,7.7,4659.0,3.6,21.0,7.6,2.9,107.3,23.1,5.4,1.0,1.3,1.2,3.0,72.56,32.01
33.0,1,1.72,24.02,70.9,6.4,5.3,5.9,5.7,6.2,4091.0,3.6,1.0,1.9,9.2,90.6,33.6,3.4,1.3,2.8,1.1,13.0,52.68,47.72
33.0,0,1.67,27.17,75.82,7.2,6.0,4.3,4.6,7.1,8987.0,2.3,91.0,6.6,1.2,69.5,7.7,5.4,0.2,2.0,2.4,48.0,86.19,67.24
52.0,1,1.69,31.09,88.74,6.3,5.3,4.9,2.6,4.7,5461.0,1.6,36.0,6.4,2.8,75.6,21.0,6.4,0.6,1.6,1.2,10.0,63.36,48.82
48.0,0,1.77,16.03,50.01,7.2,6.2,5.4,1.1,3.7,9712.0,3.6,92.0,9.3,0.2,89.9,10.9,6.9,2.5,1.2,0.3,1.0,98.39,62.56
60.0,0,1.67,23.36,64.76,6.4,4.4,3.8,1.4,2.9,8382.0,3.6,63.0,2.9,6.8,114.7,22.7,2.5,1.5,2.1,4.2,15.0,58.04,59.14
40.0,1,1.57,23.65,58.41,6.7,5.7,2.1,2.1,2.2,3878.0,2.7,1.0,9.1,0.4,98.6,21.2,9.4,1.1,2.9,1.1,6.0,82.3,72.78
24.0,1,1.84,22.36,75.69,6.8,6.8,7.2,2.7,4.2,6893.0,3.4,50.0,6.2,1.3,74.5,25.6,6.5,1.4,1.8,0.2,29.0,86.4,54.94
52.0,1,1.81,26.98,88.45,6.3,5.9,5.0,3.8,6.2,3763.0,2.6,6.0,7.0,3.4,103.0,20.2,5.0,2.0,2.0,1.5,9.0,64.46,63.69
54.0,0,1.6,23.95,61.05,6.8,5.2,4.8,2.5,5.5,6144.0,2.2,36.0,9.4,1.2,82.3,19.0,7.2,1.9,2.6,2.1,3.0,80.39,56.97
44.0,0,1.76,11.08,34.15,7.2,6.0,5.5,4.5,5.3,6282.0,3.0,32.0,7.1,4.5,107.8,30.0,9.7,1.4,2.2,0.6,3.0,74.91,65.33
54.0,1,1.66,23.17,63.82,5.3,4.4,7.9,3.7,6.7,4396.0,1.0,0.0,6.8,2.4,140.5,28.6,2.1,2.6,1.1,3.2,22.0,50.43,20.61
41.0,1,1.72,28.26,83.7,6.6,6.2,4.7,4.0,5.4,4951.0,3.3,11.0,6.5,2.6,82.8,29.4,4.5,2.5,2.1,2.2,5.0,68.47,59.61
43.0,0,1.72,26.28,78.06,5.7,5.4,4.8,5.7,8.1,9786.0,3.5,102.0,5.0,2.3,106.0,23.6,0.2,1.9,2.9,2.1,22.0,81.84,50.24
38.0,0,1.68,27.04,76.42,7.3,6.0,3.0,2.2,3.7,6444.0,2.2,46.0,5.9,3.8,75.1,20.4,5.4,1.6,2.0,1.1,3.0,76.54,58.36
19.0,0,1.64,24.55,65.8,4.9,3.4,8.0,4.6,6.8,5822.0,4.6,24.0,4.6,6.3,87.8,24.0,5.7,2.2,0.5,6.5,6.0,29.15,12.47
23.0,1,1.64,18.78,50.81,6.7,5.2,4.0,4.0,6.9,9883.0,2.7,91.0,5.9,3.5,90.6,29.0,4.9,1.8,2.2,0.6,9.0,83.56,43.8
19.0,0,1.63,29.37,77.73,7.0,6.0,3.4,3.5,4.3,5499.0,2.9,26.0,1.3,10.0,86.1,7.6,3.7,2.6,1.9,1.7,43.0,50.5,67.83
48.0,0,1.63,21.54,57.49,7.1,6.7,3.3,5.3,6.6,5922.0,1.7,36.0,6.9,2.9,139.3,28.2,0.9,2.4,0.9,0.7,40.0,79.87,65.08
33.0,0,1.69,35.78,102.76,6.6,4.4,3.8,5.3,7.5,7716.0,2.8,52.0,5.8,4.4,83.9,27.5,5.7,0.5,1.0,2.7,3.0,52.67,48.25
42.0,0,1.64,29.11,78.56,6.7,7.4,4.7,2.6,7.0,5230.0,3.5,23.0,5.3,3.3,101.7,25.5,7.9,0.4,2.6,0.1,7.0,76.39,62.73
61.0,0,1.75,19.91,61.29,7.2,7.4,4.2,3.7,4.9,5229.0,3.8,14.0,6.4,3.8,51.4,23.8,3.8,0.8,1.6,0.1,2.0,73.4,59.58
30.0,1,1.82,18.38,60.83,5.5,4.7,4.8,4.4,8.5,3932.0,1.0,0.0,3.1,4.9,98.6,5.0,5.9,2.5,1.5,3.3,11.0,37.54,52.62
37.0,0,1.65,25.09,68.61,4.0,3.4,9.5,3.6,7.6,3476.0,1.0,0.0,9.9,0.8,112.8,21.5,1.9,0.0,2.0,1.1,9.0,56.22,0.0
54.0,1,1.72,22.47,66.41,6.5,5.9,4.8,4.9,6.8,5233.0,3.3,7.0,5.8,4.9,79.4,39.3,5.9,1.9,1.6,0.8,35.0,61.61,66.34
29.0,0,1.74,28.65,86.75,6.4,5.9,5.4,4.4,6.1,6398.0,2.6,39.0,5.7,5.7,40.0,25.1,4.2,1.9,2.1,1.9,40.0,66.06,57.62
22.0,1,1.74,24.11,72.8,4.3,3.2,7.6,6.7,8.1,4334.0,2.3,11.0,4.1,4.9,89.2,22.5,3.5,2.7,1.9,2.4,7.0,42.06,6.31
32.0,1,1.71,20.28,59.03,8.4,7.5,4.7,1.7,3.6,9321.0,4.0,100.0,6.0,4.1,90.3,25.1,3.5,1.7,1.3,0.4,10.0,93.31,62.61
26.0,1,1.76,31.77,98.36,7.2,7.1,3.1,3.8,4.4,3355.0,1.0,0.0,8.8,1.8,104.5,27.8,4.2,0.2,1.7,0.4,34.0,71.33,73.13
62.0,1,1.74,23.4,70.74,5.6,2.8,4.4,2.6,4.6,8512.0,1.9,78.0,8.1,2.4,130.2,30.3,5.8,0.5,2.3,6.3,25.0,68.49,49.0
56.0,0,1.6,31.81,81.53,4.9,4.5,7.3,4.9,8.4,6283.0,3.7,22.0,7.7,1.4,82.4,23.2,2.4,0.3,2.0,1.8,0.0,51.28,30.14
48.0,0,1.77,19.44,60.88,7.2,5.6,3.9,1.6,3.0,7391.0,3.7,61.0,7.1,0.5,72.9,28.4,4.2,1.0,2.0,1.0,6.0,81.09,62.54
59.0,1,1.77,24.06,75.45,5.8,4.2,5.7,4.5,6.3,8084.0,1.9,56.0,5.3,5.1,66.7,38.4,4.9,1.3,3.2,3.2,8.0,68.81,41.1
56.0,1,1.64,27.8,74.67,6.8,5.7,4.2,3.1,3.4,3935.0,1.0,0.0,3.1,6.7,94.0,33.1,2.8,0.3,2.4,1.5,4.0,53.86,52.81
27.0,1,1.7,14.36,41.66,6.4,6.2,4.4,2.9,5.3,5556.0,2.0,36.0,5.6,3.8,99.6,43.7,8.6,3.0,2.5,0.6,3.0,74.3,75.9
60.0,1,1.75,32.55,100.23,7.2,6.3,5.0,1.8,4.1,4487.0,1.0,12.0,5.5,5.2,79.1,19.7,3.3,0.2,1.9,0.5,1.0,59.52,50.94
43.0,1,1.68,31.54,89.36,7.2,6.5,3.2,3.3,5.4,3360.0,1.0,0.0,8.1,1.9,105.6,38.4,3.7,2.8,2.1,1.0,15.0,64.82,69.64
56.0,0,1.79,20.08,64.04,6.7,4.9,2.9,5.6,7.4,6756.0,3.3,53.0,6.6,2.1,99.3,18.7,3.0,2.7,1.7,3.9,5.0,69.65,53.42
60.0,0,1.89,14.98,53.47,7.7,6.8,3.5,4.0,5.7,8923.0,2.9,89.0,9.2,0.0,90.9,27.8,8.6,2.4,2.5,0.1,1.0,100.0,70.46
33.0,1,1.64,28.06,75.21,5.6,6.0,8.5,4.9,7.4,3048.0,1.0,0.0,8.4,0.5,72.0,30.9,6.1,0.8,1.9,0.5,4.0,70.93,22.46
23.0,1,1.59,28.22,71.3,5.1,3.1,5.2,6.5,8.5,5866.0,3.4,18.0,5.1,7.3,80.4,20.9,3.1,1.8,2.1,4.5,24.0,34.95,42.41
29.0,0,1.72,25.34,75.34,5.8,5.9,5.3,4.4,6.7,4106.0,1.0,0.0,2.4,8.3,41.4,25.7,7.2,0.2,2.1,0.3,29.0,50.72,59.9
38.0,1,1.76,23.59,72.87,7.9,6.7,1.9,3.2,5.4,6264.0,3.4,43.0,8.8,1.4,94.7,32.3,5.4,2.4,2.0,2.0,10.0,89.77,75.66
56.0,0,1.68,27.44,77.59,6.6,5.8,4.3,4.7,7.8,5705.0,2.6,27.0,8.7,1.1,90.5,19.3,5.5,1.4,3.8,0.5,8.0,84.28,65.66
58.0,1,1.82,27.8,91.71,6.9,5.4,1.0,3.2,5.9,5071.0,3.9,25.0,3.3,6.5,93.8,38.4,4.3,1.1,1.6,1.9,57.0,61.24,83.53
18.0,0,1.59,30.95,78.52,6.3,5.2,5.5,3.2,5.4,5050.0,3.4,40.0,9.0,2.1,100.1,13.9,3.5,0.3,1.6,1.0,3.0,64.16,40.68
42.0,0,1.76,17.61,54.26,5.8,5.2,8.9,1.7,5.2,10057.0,3.3,76.0,6.8,2.7,97.7,40.5,5.7,0.0,2.4,0.2,4.0,87.0,10.32
38.0,1,1.65,33.16,90.44,7.2,6.2,7.0,5.4,7.8,9846.0,2.4,96.0,6.3,4.3,87.8,33.0,3.9,0.5,1.6,1.7,5.0,76.67,41.8
28.0,0,1.84,28.02,94.61,5.2,4.8,7.7,3.4,6.7,4151.0,1.4,7.0,9.2,0.4,91.0,24.3,8.6,2.6,1.8,2.3,3.0,61.56,19.59
24.0,1,1.86,33.92,117.28,5.6,4.7,5.8,4.3,6.9,3033.0,1.0,0.0,8.7,3.3,61.9,21.8,2.5,1.1,1.3,2.3,7.0,50.07,40.85
34.0,1,1.64,19.79,53.15,7.5,6.3,4.4,2.4,2.6,6431.0,3.3,53.0,7.3,3.4,78.3,20.9,8.1,1.3,2.3,2.0,36.0,77.28,75.02
62.0,1,1.66,26.85,73.64,5.0,4.5,8.8,4.7,8.0,9367.0,2.6,76.0,6.9,4.3,91.0,23.9,4.8,2.2,2.3,1.4,14.0,64.69,4.89
33.0,0,1.77,12.39,38.77,7.4,6.7,4.8,2.9,5.0,8338.0,3.3,60.0,7.2,2.2,75.3,24.6,5.6,3.3,1.8,1.5,8.0,84.44,60.63
42.0,0,1.67,28.11,78.3,7.2,6.5,2.5,3.8,5.7,9664.0,2.8,88.0,5.2,5.9,107.2,35.0,6.7,2.8,2.4,2.0,41.0,80.32,83.95
51.0,0,1.7,21.47,61.78,7.0,5.2,4.5,5.3,7.6,5194.0,3.4,29.0,5.9,3.8,76.8,40.7,3.7,0.5,0.9,2.3,1.0,63.46,50.74
35.0,1,1.7,34.12,98.85,5.6,4.7,5.1,5.2,6.8,4850.0,2.0,2.0,4.2,5.9,94.3,26.6,6.7,0.0,1.6,2.1,4.0,47.58,51.68
64.0,1,1.55,24.41,58.38,6.5,6.3,6.4,4.0,6.2,6370.0,3.2,36.0,5.3,6.3,92.3,18.2,0.0,3.9,1.9,1.8,13.0,75.31,44.41
63.0,1,1.7,15.47,44.66,5.1,4.3,7.4,1.3,2.8,5539.0,2.4,20.0,5.3,3.7,104.9,20.6,3.6,3.8,1.3,0.3,14.0,49.25,50.37
30.0,1,1.64,23.26,62.93,5.1,5.0,5.9,8.5,11.8,7406.0,1.5,53.0,4.7,5.5,108.0,23.5,3.2,1.7,1.0,0.5,1.0,54.1,31.54
41.0,1,1.66,14.64,40.37,5.9,5.4,6.8,6.6,8.5,6881.0,2.8,61.0,6.3,4.2,103.9,16.8,2.5,0.2,1.8,0.6,8.0,77.31,27.76
32.0,1,1.82,24.66,81.27,5.5,3.6,2.6,5.1,6.7,7677.0,4.5,71.0,5.4,5.2,47.9,15.6,4.6,2.5,2.4,5.0,16.0,66.7,59.87
